 ,Area,Mean,Min,Max,Angle,Length
1,0.278,251.248,53,255,0,5.659
2,0.043,240.167,84,255,180,0.829
3,0.412,234.445,0,255,0,8.390
4,0.062,249.231,105,255,0,1.220
5,0.143,243.450,0,255,180,2.878
6,0.198,249.193,39,255,0,4.000
7,0.800,249.708,0,255,0,16.341
8,0.086,245.333,21,255,0,1.707
9,0.021,150.778,0,255,180,0.390
10,0.167,247.914,0,255,180,3.366
11,0.186,246.846,0,255,180,3.756
12,0.171,248.625,0,255,180,3.463
13,0.071,225.567,0,255,180,1.415
14,0.578,251.473,0,255,180,11.805
15,0.209,241.318,0,255,180,4.244
16,0.131,250.036,8,255,180,2.634
17,0.157,249.500,0,255,180,3.171
18,0.036,126.733,0,255,180,0.683
19,0.050,236.667,0,255,180,0.976
20,0.128,224.500,0,255,180,2.585
21,0.043,220.556,61,255,0,0.829
22,0.112,248.851,74,255,180,2.244
23,0.202,248.412,37,255,180,4.098
24,0.297,251.256,73,255,180,6.049
25,0.062,228.885,32,255,180,1.220
26,0.045,211.368,0,255,180,0.878
27,0.038,221.125,0,255,0,0.732
28,0.340,250.741,46,255,180,6.927
29,0.186,251.821,134,255,180,3.756
30,0.086,255.000,255,255,180,1.707
31,0.036,190.200,0,255,180,0.683
32,0.271,243.114,0,255,180,5.512
33,0.100,241.524,0,255,180,2.000
34,0.057,230.583,0,255,180,1.122
35,0.086,234.333,46,255,180,1.707
36,0.067,13.107,0,77,180,1.317
37,0.043,14.556,0,79,180,0.829
38,0.024,2.600,0,26,180,0.439
39,0.102,9.233,0,150,0,2.049
40,0.259,244.881,0,255,180,5.268
41,0.071,221.200,0,255,180,1.415
42,0.081,225.971,0,255,180,1.610
43,0.171,245.292,0,255,180,3.463
44,0.088,242.486,37,255,180,1.756
45,0.164,250.420,84,255,180,3.317
46,0.081,247.353,36,255,180,1.610
47,0.031,227.769,59,255,180,0.585
48,0.062,247.192,81,255,180,1.220
49,0.040,220.588,2,255,180,0.780
50,0.136,248.000,0,255,180,2.732
51,0.062,213.846,0,255,180,1.220
52,0.029,211.250,0,255,180,0.537
53,0.014,129.500,0,255,180,0.244
54,0.121,254.314,220,255,180,2.439
55,0.079,241.758,0,255,180,1.561
56,0.117,222.735,0,255,180,2.341
57,0.114,235.229,0,255,180,2.293
58,0.150,255.000,255,255,180,3.024
59,0.178,245.253,0,255,180,3.610
60,0.128,243.796,0,255,180,2.585
61,0.126,248.755,0,255,180,2.537
62,0.059,247.720,141,255,180,1.171
63,0.076,233.000,0,255,180,1.512
64,0.057,234.667,0,255,180,1.122
65,0.040,221.412,41,255,180,0.780
66,0.036,224.000,64,255,180,0.683
67,0.207,245.241,0,255,180,4.195
68,0.150,247.778,0,255,180,3.024
69,0.043,208.444,0,255,180,0.829
70,0.143,237.767,0,255,180,2.878
71,0.026,186.909,0,255,180,0.488
72,0.026,237.273,60,255,180,0.488
73,0.138,254.448,236,255,0,2.780
74,0.059,249.480,124,255,180,1.171
75,0.045,247.158,168,255,180,0.878
76,0.057,233.458,0,255,180,1.122
77,0.205,253.988,168,255,180,4.146
78,0.029,223.583,0,255,180,0.537
79,0.086,241.500,0,255,180,1.707
