 ,Area,Mean,Min,Max,Angle,Length
1,0.062,248.870,127.500,255,-0.579,1.207
2,0.157,252.095,127.500,255,0.000,3.146
3,0.162,253.125,127.500,255,0.000,3.244
4,0.124,255.000,255.000,255,0.000,2.463
5,0.114,255.000,255.000,255,0.000,2.268
6,0.076,247.031,127.500,255,0.000,1.512
7,0.162,251.222,0.000,255,0.000,3.244
8,0.090,238.042,0.000,255,0.000,1.780
9,0.059,249.900,127.500,255,0.000,1.146
10,0.159,255.000,255.000,255,0.000,3.220
11,0.031,210.865,63.750,255,0.000,0.585
12,0.081,251.250,127.500,255,0.000,1.610
13,0.062,250.096,127.500,255,0.000,1.195
14,0.040,247.500,127.500,255,0.000,0.780
15,0.076,247.031,0.000,255,0.000,1.512
16,0.098,247.148,4.638E-10,255,0.000,1.927
17,0.052,231.818,0.000,255,0.000,1.024
18,0.107,240.833,0.000,255,0.000,2.146
19,0.109,242.527,0.000,255,0.000,2.195
20,0.121,250.000,0.000,255,0.000,2.439
21,0.086,240.735,0.000,255,179.170,1.683
22,0.024,188.417,0.000,255,0.000,0.415
23,0.062,250.096,127.500,255,0.000,1.220
24,0.045,214.737,0.000,255,180.000,0.878
25,0.062,240.288,63.750,255,180.000,1.220
26,0.031,245.192,127.500,255,0.000,0.561
27,0.124,242.644,0.000,255,0.000,2.463
28,0.102,237.209,0.000,255,0.000,2.049
29,0.026,208.636,0.000,255,180.000,0.488
30,0.247,252.548,0.000,255,0.000,5.024
31,0.074,246.706,63.750,255,0.000,1.439
32,0.107,250.718,127.500,255,0.000,2.122
33,0.121,240.000,0.000,255,0.000,2.439
34,0.048,212.556,0.000,255,180.000,0.902
35,0.057,244.375,0.000,255,0.000,1.122
36,0.145,250.802,63.750,255,180.000,2.902
37,0.138,244.009,0.000,255,0.000,2.780
38,0.024,178.500,0.000,255,0.000,0.439
39,0.124,242.740,0.000,255,180.000,2.488
40,0.059,208.799,0.000,255,1.219,1.147
41,0.131,252.682,127.500,255,0.000,2.634
42,0.107,238.000,0.000,255,0.000,2.146
43,0.036,230.714,118.393,255,2.045,0.683
44,0.090,244.934,127.500,255,0.000,1.805
45,0.133,248.128,0.000,255,0.000,2.659
46,0.167,247.675,0.000,255,0.000,3.341
47,0.055,237.196,11.591,255,178.668,1.049
48,0.050,236.786,0.000,255,180.000,0.976
49,0.081,234.545,0.000,255,0.868,1.610
