Area,Mean,Min,Max,Angle,Length,Inverse,Average Inverse,Alpha Thickness
0.062,248.87,127.5,255,-0.579,1.207,0.828500414,0.884580996,0.753652486
0.157,252.095,127.5,255,0,3.146,0.317863954,,
0.162,253.125,127.5,255,0,3.244,0.308261406,,
0.124,255,255,255,0,2.463,0.406008932,,
0.114,255,255,255,0,2.268,0.440917108,,
0.076,247.031,127.5,255,0,1.512,0.661375661,,
0.162,251.222,0,255,0,3.244,0.308261406,,
0.09,238.042,0,255,0,1.78,0.561797753,,
0.059,249.9,127.5,255,0,1.146,0.872600349,,
0.159,255,255,255,0,3.22,0.310559006,,
0.031,210.865,63.75,255,0,0.585,1.709401709,,
0.081,251.25,127.5,255,0,1.61,0.621118012,,
0.062,250.096,127.5,255,0,1.195,0.836820084,,
0.04,247.5,127.5,255,0,0.78,1.282051282,,
0.076,247.031,0,255,0,1.512,0.661375661,,
0.098,247.148,4.64E-10,255,0,1.927,0.51894136,,
0.052,231.818,0,255,0,1.024,0.9765625,,
0.107,240.833,0,255,0,2.146,0.465983225,,
0.109,242.527,0,255,0,2.195,0.455580866,,
0.121,250,0,255,0,2.439,0.4100041,,
0.086,240.735,0,255,179.17,1.683,0.594177065,,
0.024,188.417,0,255,0,0.415,2.409638554,,
0.062,250.096,127.5,255,0,1.22,0.819672131,,
0.045,214.737,0,255,180,0.878,1.138952164,,
0.062,240.288,63.75,255,180,1.22,0.819672131,,
0.031,245.192,127.5,255,0,0.561,1.782531194,,
0.124,242.644,0,255,0,2.463,0.406008932,,
0.102,237.209,0,255,0,2.049,0.488042948,,
0.026,208.636,0,255,180,0.488,2.049180328,,
0.247,252.548,0,255,0,5.024,0.199044586,,
0.074,246.706,63.75,255,0,1.439,0.694927033,,
0.107,250.718,127.5,255,0,2.122,0.471253534,,
0.121,240,0,255,0,2.439,0.4100041,,
0.048,212.556,0,255,180,0.902,1.10864745,,
0.057,244.375,0,255,0,1.122,0.891265597,,
0.145,250.802,63.75,255,180,2.902,0.344589938,,
0.138,244.009,0,255,0,2.78,0.35971223,,
0.024,178.5,0,255,0,0.439,2.277904328,,
0.124,242.74,0,255,180,2.488,0.40192926,,
