Area,Mean,Min,Max,Angle,Length,Inverse,Mean Inverse,Alpha Thickness
0.036,221,0,255,0,0.683,1.464128843,0.83849578,0.795074564
0.202,252,0,255,180,4.098,0.244021474,,
0.131,241.091,0,255,0,2.634,0.379650721,,
0.074,246.774,0,255,180,1.463,0.683526999,,
0.1,248.929,0,255,0,2,0.5,,
0.048,204,0,255,180,0.927,1.078748652,,
0.117,239.388,0,255,180,2.341,0.427167877,,
0.09,248.289,0,255,180,1.805,0.55401662,,
0.076,223.125,0,255,180,1.512,0.661375661,,
0.15,255,255,255,180,3.024,0.330687831,,
0.098,248.78,0,255,180,1.951,0.512557663,,
0.074,255,255,255,180,1.463,0.683526999,,
0.074,246.774,0,255,180,1.463,0.683526999,,
0.086,247.917,0,255,180,1.707,0.585823081,,
0.069,246.207,0,255,180,1.366,0.732064422,,
0.081,240,0,255,180,1.61,0.621118012,,
0.081,240,0,255,180,1.61,0.621118012,,
0.228,252.344,0,255,180,4.634,0.215796288,,
0.04,225,0,255,180,0.78,1.282051282,,
0.088,248.108,0,255,180,1.756,0.569476082,,
0.138,250.603,0,255,180,2.78,0.35971223,,
0.1,255,255,255,180,2,0.5,,
0.031,235.385,0,255,180,0.585,1.709401709,,
0.067,255,255,255,180,1.317,0.759301443,,
0.067,245.893,0,255,0,1.317,0.759301443,,
0.109,249.457,0,255,180,2.195,0.455580866,,
0.138,250.603,0,255,180,2.78,0.35971223,,
0.079,247.273,0,255,180,1.561,0.64061499,,
0.064,255,255,255,180,1.268,0.788643533,,
0.031,215.769,0,255,180,0.585,1.709401709,,
0.126,245.377,0,255,180,2.537,0.394166338,,
0.098,242.561,0,255,180,1.951,0.512557663,,
0.14,250.678,0,255,180,2.829,0.353481796,,
0.19,255,255,255,180,3.854,0.25947068,,
0.119,255,255,255,180,2.39,0.418410042,,
0.169,251.408,0,255,180,3.415,0.292825769,,
0.069,255,255,255,180,1.366,0.732064422,,
0.14,250.678,0,255,180,2.829,0.353481796,,
0.033,218.571,0,255,180,0.634,1.577287066,,
0.209,255,255,255,180,4.244,0.235626767,,
0.031,235.385,0,255,180,0.585,1.709401709,,
0.062,255,255,255,180,1.22,0.819672131,,
0.019,223.125,0,255,180,0.341,2.93255132,,
0.074,246.774,0,255,180,1.463,0.683526999,,
0.074,246.774,0,255,180,1.463,0.683526999,,
0.043,212.5,0,255,180,0.829,1.206272618,,
0.145,250.82,0,255,180,2.927,0.341646737,,
0.024,229.5,0,255,180,0.439,2.277904328,,
0.069,246.207,0,255,180,1.366,0.732064422,,
0.145,255,255,255,180,2.927,0.341646737,,
0.238,252.45,0,255,180,4.829,0.207082212,,
0.19,239.062,0,255,180,3.854,0.25947068,,
0.102,237.209,0,255,180,2.049,0.488042948,,
0.05,218.571,0,255,180,0.976,1.024590164,,
0.326,253.139,0,255,180,6.634,0.150738619,,
0.121,235,0,255,180,2.439,0.4100041,,
0.112,249.574,0,255,180,2.244,0.445632799,,
0.048,255,255,255,180,0.927,1.078748652,,
0.105,243.409,0,255,180,2.098,0.476644423,,
0.083,233.143,0,255,180,1.659,0.602772755,,
0.048,255,255,255,180,0.927,1.078748652,,
0.121,255,255,255,180,2.439,0.4100041,,
0.04,150,0,255,180,0.78,1.282051282,,
0.093,248.462,0,255,180,1.854,0.539374326,,
0.083,233.143,0,255,180,1.659,0.602772755,,
0.055,232.826,0,255,180,1.073,0.931966449,,
0.059,224.4,0,255,180,1.171,0.853970965,,
0.069,237.414,0,255,180,1.366,0.732064422,,
